City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,san policarpo,12.1791,125.5072,299.74,83,76,2.46,PH,1682286319
255,pirgos,35.1167,25.7178,290.16,60,1,2.4,GR,1682286320
256,nikolsk,53.7189,46.0712,281.87,55,23,1.92,RU,1682286320
257,kirakira,-10.4544,161.9205,302.08,75,28,3.03,SB,1682286321
258,fortuna,40.5982,-124.1573,286.85,84,100,1.34,US,1682286256
259,tulun,54.5611,100.5792,270.84,72,3,1.97,RU,1682286321
260,areosa,41.7178,-8.8571,288.29,95,86,1.18,PT,1682286322
261,calera,33.1029,-86.7536,292.94,46,20,2.57,US,1682286323
262,nikolskoye,59.7035,30.7861,286.37,66,45,3.25,RU,1682286323
263,tura,25.5198,90.2201,291.04,74,22,1.29,IN,1682286323
264,lianzhou,24.7811,112.3825,285.53,96,100,2.52,CN,1682286324
265,kodiak,57.79,-152.4072,276.88,38,0,7.2,US,1682286274
266,kloulklubed,7.0419,134.2556,299.43,72,100,2.8,PW,1682286325
267,ilhabela,-23.7781,-45.3581,294.79,84,7,3.89,BR,1682286325
268,dudinka,69.4058,86.1778,272.94,83,100,6.5,RU,1682286262
269,ararangua,-28.9347,-49.4858,292.6,87,12,2.2,BR,1682286326
270,tra vinh,9.9347,106.3453,299.8,79,93,1.76,VN,1682286234
271,nieuw nickerie,5.95,-56.9833,297.33,90,100,1.73,SR,1682286327
272,srednekolymsk,67.45,153.6833,272.72,83,97,7.0,RU,1682286327
273,kaspiysk,42.8816,47.6392,286.25,71,40,4.02,RU,1682286328
274,thinadhoo,0.5333,72.9333,301.85,75,84,2.62,MV,1682286315
275,sao jose da coroa grande,-8.8978,-35.1478,298.86,82,76,3.85,BR,1682286328
276,beidao,34.5686,105.8933,277.18,85,95,1.42,CN,1682286329
277,baherden,38.4362,57.4316,296.2,30,77,2.43,TM,1682286329
278,la solana,38.9442,-3.2381,286.06,48,7,2.42,ES,1682286313
279,manado,1.487,124.8455,296.58,94,20,1.03,ID,1682286330
280,ayan,56.45,138.1667,272.61,66,14,5.72,RU,1682286330
281,ngunguru,-35.6167,174.5,290.1,70,89,8.38,NZ,1682286331
282,plettenberg bay,-34.0527,23.3716,292.63,69,98,1.57,ZA,1682286331
283,vila franca do campo,37.7167,-25.4333,291.38,95,92,6.8,PT,1682286305
284,butembo,0.15,29.2833,288.0,100,100,0.34,CD,1682286332
285,staryy nadym,65.6118,72.6842,274.28,97,100,7.04,RU,1682286332
286,saint-jovite,46.1186,-74.5966,280.46,97,100,1.69,CA,1682286272
287,longyearbyen,78.2186,15.6401,263.06,85,0,4.63,SJ,1682286334
288,kavaratti,10.5669,72.642,301.55,72,77,4.88,IN,1682286334
289,primo tapia,32.22,-116.9172,296.92,70,36,3.59,MX,1682286335
290,poitiers,46.5833,0.3333,283.38,61,20,4.63,FR,1682286335
291,carora,10.1755,-70.0827,300.89,63,87,1.99,VE,1682286335
292,matara,5.9485,80.5353,298.99,89,100,0.8,LK,1682286336
293,malakal,9.5334,31.6605,302.64,50,61,3.99,SS,1682286336
294,bastrop,32.7562,-91.8724,286.97,61,100,1.34,US,1682286247
